user_id,signup_timestamp,acquisition_channel,country,device_type,user_intent_level,career_stage,marketing_consent,language,timezone,initial_plan_type
156b8969-f41c-5070-bf45-9fd3875e9214,2026-03-10 03:47:57+00:00,content_marketing,US,desktop,low,student,True,en,America/New_York,free
a8376540-000d-5855-b682-9aa197e52914,2026-04-26 09:40:15+00:00,referral,CN,tablet,medium,new_graduate,False,zh,Asia/Shanghai,free
a57fbc32-4b1b-5992-8e8b-6c615f3b8ea4,2026-04-18 03:58:12+00:00,organic_search,CN,mobile,medium,student,True,zh,Asia/Shanghai,free
ae13867b-fc5a-59ab-b810-ff986182d58d,2026-04-03 06:46:56+00:00,organic_search,IN,desktop,medium,early_career,False,en,Asia/Kolkata,free
6dfabb24-2054-5c13-8ef8-23c6a0a3f76c,2026-04-02 21:04:22+00:00,content_marketing,FR,mobile,medium,new_graduate,True,fr,Europe/Paris,free
7accd51b-5cc2-57d0-986c-14a0ea1d5337,2026-05-02 05:50:16+00:00,content_marketing,GB,mobile,low,early_career,False,en,Europe/London,free
e1ed019c-9f3f-5021-beb9-a98ac99f0bc9,2026-03-09 22:19:32+00:00,social_ads,IN,tablet,high,new_graduate,True,en,Asia/Kolkata,free
d77ed0c7-11d5-54cb-99c7-bb8a93d35702,2026-04-21 02:50:28+00:00,campus_event,CN,mobile,low,early_career,True,zh,Asia/Shanghai,free
502708d1-80c1-5f09-b8d5-9234ec96a4e5,2026-03-17 21:37:59+00:00,social_ads,IN,desktop,high,student,False,en,Asia/Kolkata,free
2a68e4e1-34d3-5855-ab5b-60f01584a0cf,2026-03-10 11:57:26+00:00,social_ads,CN,desktop,low,early_career,True,zh,Asia/Shanghai,free
f4828567-a783-5a3c-848d-34aabf732a71,2026-04-09 07:50:56+00:00,organic_search,US,desktop,medium,student,False,en,America/New_York,free
428387bf-1c71-542f-9d68-55b76fe22a02,2026-05-10 07:37:49+00:00,organic_search,IN,mobile,medium,early_career,True,en,Asia/Kolkata,free
fd8bb877-6add-56dd-82c9-4d8d68e08367,2026-04-23 18:24:20+00:00,organic_search,IN,mobile,medium,new_graduate,True,en,Asia/Kolkata,free
00f01125-7d4e-5810-a8e9-8d6cbdf5f55a,2026-04-25 12:26:49+00:00,referral,CN,mobile,low,student,True,zh,Asia/Shanghai,free
dad25142-5873-507b-bba0-a35ee88f801c,2026-04-22 12:08:31+00:00,organic_search,DE,mobile,medium,new_graduate,True,de,Europe/Berlin,free
b97163de-4ad1-5c72-b3d2-d3d786d07326,2026-04-27 05:43:19+00:00,organic_search,IN,desktop,low,new_graduate,True,en,Asia/Kolkata,free
e3c5f824-9653-5968-8782-57a8cb65a8f2,2026-04-08 09:54:10+00:00,social_ads,CN,desktop,medium,student,False,zh,Asia/Shanghai,free
2d2e1aee-7a0d-596f-a097-6ecb425af26d,2026-03-12 20:09:21+00:00,organic_search,US,desktop,high,student,False,en,America/New_York,free
14be18d2-4bab-5761-b539-6eab4716ce7a,2026-04-30 22:37:22+00:00,organic_search,US,desktop,medium,student,True,en,America/New_York,free
84f8f083-372b-5872-b012-986f9ebec92d,2026-04-04 01:50:19+00:00,social_ads,CN,mobile,medium,early_career,True,zh,Asia/Shanghai,free
9a7478cc-93e2-5737-84fd-b8551a7d8984,2026-04-07 12:34:56+00:00,social_ads,CN,tablet,medium,new_graduate,True,zh,Asia/Shanghai,free
c31a4d7d-f6f7-5dbc-abe8-40701bf34301,2026-03-29 14:02:28+00:00,campus_event,US,desktop,medium,student,True,en,America/New_York,free
58787f61-e4cf-514e-a896-d990ba049fbf,2026-03-16 14:18:06+00:00,content_marketing,US,mobile,high,early_career,False,en,America/New_York,free
c993aad0-c33b-5914-995c-8311b1dcb1cf,2026-05-06 22:43:21+00:00,organic_search,US,desktop,medium,new_graduate,True,en,America/New_York,free
a941e836-0a79-5a68-92f9-2a7d9c781aff,2026-04-26 22:16:31+00:00,content_marketing,GB,mobile,high,new_graduate,True,en,Europe/London,free
23d4583a-8cd4-51c0-92d2-d18753b4adde,2026-04-17 10:14:25+00:00,content_marketing,GB,desktop,high,new_graduate,False,en,Europe/London,free
eea22772-8da6-508b-9ee1-d05be784bf3d,2026-03-31 18:23:52+00:00,referral,CN,mobile,medium,student,True,zh,Asia/Shanghai,free
0fd3b4a7-6ae5-5bab-9b27-31bbfb22d08b,2026-04-29 18:29:34+00:00,campus_event,US,desktop,medium,student,False,en,America/New_York,free
16a9fd4f-b49d-5012-8456-ac70aa9be1e9,2026-04-10 15:13:49+00:00,campus_event,US,desktop,medium,early_career,True,en,America/New_York,free
90d995fb-841e-5d69-a4bb-a4072118637d,2026-04-03 14:17:37+00:00,campus_event,US,mobile,high,early_career,True,en,America/New_York,free
03a3fc85-5e22-5ae0-b2a6-049a2681be8c,2026-04-04 01:57:38+00:00,campus_event,CN,desktop,low,early_career,True,zh,Asia/Shanghai,free
4f215547-bc6a-54b6-96c3-14de03d686aa,2026-03-19 16:18:25+00:00,organic_search,US,mobile,low,student,True,en,America/New_York,free
0b6530e0-bdcf-5c20-8886-70bc7fd5628a,2026-03-10 08:34:36+00:00,content_marketing,US,desktop,low,early_career,True,en,America/New_York,free
