message_id,user_id,action_name,channel,send_time,open_time,click_time,conversion_time,experiment_id
a815218d-e054-482e-a583-6a0956a8879f,156b8969-f41c-5070-bf45-9fd3875e9214,send_reengagement_message,push,2026-04-01 03:47:57+00:00,2026-04-01 06:47:57+00:00,2026-04-01 07:40:57+00:00,,
db9acd48-5e7d-48c7-b23d-81ff920bd64f,a8376540-000d-5855-b682-9aa197e52914,complete_onboarding,in_app,2026-04-29 09:40:15+00:00,,,,
bcfd2cdb-f928-4c4f-8795-34764d609a28,a57fbc32-4b1b-5992-8e8b-6c615f3b8ea4,complete_onboarding,in_app,2026-04-21 03:58:12+00:00,,,,
ccd328db-b709-4d85-83f9-48088f41dfb5,ae13867b-fc5a-59ab-b810-ff986182d58d,complete_onboarding,in_app,2026-04-06 06:46:56+00:00,,,,
75f54b7c-e6c5-4925-a34d-dca48fffab43,6dfabb24-2054-5c13-8ef8-23c6a0a3f76c,complete_onboarding,email,2026-04-05 21:04:22+00:00,,,,
c150acc7-5b63-4f61-be84-9d5fd0ecc5e0,7accd51b-5cc2-57d0-986c-14a0ea1d5337,complete_onboarding,in_app,2026-05-05 05:50:16+00:00,,,,
d2bd510f-930c-4e8d-b2f4-6bc79aa2bc72,e1ed019c-9f3f-5021-beb9-a98ac99f0bc9,complete_onboarding,email,2026-03-12 22:19:32+00:00,2026-03-13 20:19:32+00:00,,,
6bacb333-e93e-4cee-9df7-688e440ea9e8,d77ed0c7-11d5-54cb-99c7-bb8a93d35702,complete_onboarding,push,2026-04-24 02:50:28+00:00,,,,
0f1e9d8b-4a62-4c88-ad42-2fbb335fcdc2,2a68e4e1-34d3-5855-ab5b-60f01584a0cf,send_reengagement_message,push,2026-04-01 11:57:26+00:00,,,,
20c1d8f2-efbc-4082-8a43-2102682b0321,f4828567-a783-5a3c-848d-34aabf732a71,complete_onboarding,in_app,2026-04-12 07:50:56+00:00,,,,
012ce76b-bb78-417e-9a46-18d619eb4e20,428387bf-1c71-542f-9d68-55b76fe22a02,complete_onboarding,in_app,2026-05-13 07:37:49+00:00,2026-05-14 03:37:49+00:00,,,
825042d9-aa4c-4b0b-bd36-9bbb0ff5e424,fd8bb877-6add-56dd-82c9-4d8d68e08367,complete_onboarding,in_app,2026-04-26 18:24:20+00:00,,,,
cb8c2ae9-5123-4b8d-985b-473bc0097af0,00f01125-7d4e-5810-a8e9-8d6cbdf5f55a,complete_onboarding,push,2026-04-28 12:26:49+00:00,,,,
bedf60c5-4829-4667-95eb-7feb60941154,dad25142-5873-507b-bba0-a35ee88f801c,complete_onboarding,email,2026-04-25 12:08:31+00:00,2026-04-26 06:08:31+00:00,2026-04-26 06:27:31+00:00,,
