user_id,signup_timestamp,acquisition_channel,country,device_type,user_intent_level,career_stage,onboarding_variant,language,timezone,signup_hour,signup_day_of_week,marketing_consent,onboarding_started,onboarding_complete,profile_complete,resume_upload,job_recommendation_view,job_save,growth_task_complete,career_report_generate,num_core_actions_completed,num_sessions,num_user_actions,num_days_active,num_email_sent,num_push_sent,num_in_app_sent,avg_events_per_session,max_events_in_session,total_user_actions_in_sessions,unique_event_type_count,first_day_event_count,last_2_days_event_count,hours_to_first_action,hours_since_last_action_at_cutoff,ai_assistant_interaction_count,job_detail_view_count,return_visit_count,is_churned
156b8969-f41c-5070-bf45-9fd3875e9214,2026-03-10 03:47:57+00:00,content_marketing,US,desktop,low,student,simplified,en,America/New_York,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,3.0,0.0,0.0,0.0,1.6666666666666667,3.0,10.0,8.0,6.0,0.0,0.0,96.01527777777778,0.0,1.0,1.0,0
a8376540-000d-5855-b682-9aa197e52914,2026-04-26 09:40:15+00:00,referral,CN,tablet,medium,new_graduate,control,zh,Asia/Shanghai,9.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,1.25,2.0,5.0,5.0,5.0,0.0,0.0,150.28416666666666,0.0,0.0,0.0,0
a57fbc32-4b1b-5992-8e8b-6c615f3b8ea4,2026-04-18 03:58:12+00:00,organic_search,CN,mobile,medium,student,personalized,zh,Asia/Shanghai,3.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,16.0,4.0,0.0,0.0,0.0,1.7777777777777777,3.0,16.0,8.0,5.0,7.0,0.0,14.654444444444444,0.0,3.0,0.0,0
ae13867b-fc5a-59ab-b810-ff986182d58d,2026-04-03 06:46:56+00:00,organic_search,IN,desktop,medium,early_career,personalized,en,Asia/Kolkata,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,9.0,3.0,0.0,0.0,0.0,1.5,3.0,9.0,7.0,5.0,0.0,0.0,51.95722222222222,1.0,0.0,0.0,0
6dfabb24-2054-5c13-8ef8-23c6a0a3f76c,2026-04-02 21:04:22+00:00,content_marketing,FR,mobile,medium,new_graduate,control,fr,Europe/Paris,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,6.0,4.0,1.0,0.0,0.0,63.0375,0.0,0.0,1.0,1
7accd51b-5cc2-57d0-986c-14a0ea1d5337,2026-05-02 05:50:16+00:00,content_marketing,GB,mobile,low,early_career,personalized,en,Europe/London,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.0,0.0,0.0,0.0,0
e1ed019c-9f3f-5021-beb9-a98ac99f0bc9,2026-03-09 22:19:32+00:00,social_ads,IN,tablet,high,new_graduate,simplified,en,Asia/Kolkata,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,15.0,5.0,0.0,0.0,0.0,1.6666666666666667,3.0,15.0,9.0,4.0,4.0,0.0,1.4091666666666667,1.0,0.0,1.0,0
d77ed0c7-11d5-54cb-99c7-bb8a93d35702,2026-04-21 02:50:28+00:00,campus_event,CN,mobile,low,early_career,personalized,zh,Asia/Shanghai,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.0,0.0,0.0,0.0,1
502708d1-80c1-5f09-b8d5-9234ec96a4e5,2026-03-17 21:37:59+00:00,social_ads,IN,desktop,high,student,simplified,en,Asia/Kolkata,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,3.0,14.0,5.0,0.0,0.0,0.0,1.4,3.0,14.0,10.0,7.0,4.0,0.0,37.47638888888889,0.0,1.0,0.0,0
2a68e4e1-34d3-5855-ab5b-60f01584a0cf,2026-03-10 11:57:26+00:00,social_ads,CN,desktop,low,early_career,personalized,zh,Asia/Shanghai,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,19.0,6.0,0.0,0.0,0.0,2.111111111111111,4.0,19.0,9.0,6.0,3.0,0.0,2.0052777777777777,1.0,3.0,1.0,0
f4828567-a783-5a3c-848d-34aabf732a71,2026-04-09 07:50:56+00:00,organic_search,US,desktop,medium,student,control,en,America/New_York,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.5,2.0,3.0,3.0,3.0,0.0,0.0,163.015,0.0,0.0,0.0,1
428387bf-1c71-542f-9d68-55b76fe22a02,2026-05-10 07:37:49+00:00,organic_search,IN,mobile,medium,early_career,personalized,en,Asia/Kolkata,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.0,0.0,0.0,0.0,1
fd8bb877-6add-56dd-82c9-4d8d68e08367,2026-04-23 18:24:20+00:00,organic_search,IN,mobile,medium,new_graduate,personalized,en,Asia/Kolkata,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.0,0.0,0.0,0.0,1
00f01125-7d4e-5810-a8e9-8d6cbdf5f55a,2026-04-25 12:26:49+00:00,referral,CN,mobile,low,student,personalized,zh,Asia/Shanghai,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,0.0,0.0,1.75,3.0,7.0,5.0,1.0,6.0,0.0,8.7025,1.0,0.0,0.0,0
dad25142-5873-507b-bba0-a35ee88f801c,2026-04-22 12:08:31+00:00,organic_search,DE,mobile,medium,new_graduate,control,de,Europe/Berlin,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.5,2.0,3.0,3.0,1.0,2.0,0.0,43.28666666666667,0.0,0.0,0.0,0
b97163de-4ad1-5c72-b3d2-d3d786d07326,2026-04-27 05:43:19+00:00,organic_search,IN,desktop,low,new_graduate,personalized,en,Asia/Kolkata,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.5,2.0,3.0,3.0,1.0,0.0,0.0,115.47888888888889,0.0,0.0,0.0,1
e3c5f824-9653-5968-8782-57a8cb65a8f2,2026-04-08 09:54:10+00:00,social_ads,CN,desktop,medium,student,simplified,zh,Asia/Shanghai,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,12.0,6.0,0.0,0.0,0.0,2.0,4.0,12.0,8.0,1.0,5.0,0.0,33.80722222222222,1.0,1.0,1.0,0
2d2e1aee-7a0d-596f-a097-6ecb425af26d,2026-03-12 20:09:21+00:00,organic_search,US,desktop,high,student,simplified,en,America/New_York,20.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,16.0,4.0,0.0,0.0,0.0,2.0,4.0,16.0,9.0,1.0,0.0,0.0,53.89388888888889,1.0,2.0,1.0,1
14be18d2-4bab-5761-b539-6eab4716ce7a,2026-04-30 22:37:22+00:00,organic_search,US,desktop,medium,student,personalized,en,America/New_York,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,2.6666666666666665,4.0,8.0,5.0,5.0,0.0,0.0,97.48333333333333,1.0,2.0,0.0,1
84f8f083-372b-5872-b012-986f9ebec92d,2026-04-04 01:50:19+00:00,social_ads,CN,mobile,medium,early_career,personalized,zh,Asia/Shanghai,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,15.0,5.0,0.0,0.0,0.0,1.5,3.0,15.0,9.0,4.0,3.0,0.0,4.101944444444444,1.0,0.0,0.0,0
9a7478cc-93e2-5737-84fd-b8551a7d8984,2026-04-07 12:34:56+00:00,social_ads,CN,tablet,medium,new_graduate,personalized,zh,Asia/Shanghai,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,4.0,0.0,0.0,0.0,1.5714285714285714,2.0,11.0,5.0,5.0,2.0,0.0,15.604444444444445,0.0,0.0,0.0,1
c31a4d7d-f6f7-5dbc-abe8-40701bf34301,2026-03-29 14:02:28+00:00,campus_event,US,desktop,medium,student,personalized,en,America/New_York,14.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,14.0,5.0,0.0,0.0,0.0,1.4,2.0,14.0,8.0,4.0,2.0,0.0,45.43,0.0,0.0,0.0,0
58787f61-e4cf-514e-a896-d990ba049fbf,2026-03-16 14:18:06+00:00,content_marketing,US,mobile,high,early_career,personalized,en,America/New_York,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,10.0,5.0,0.0,0.0,0.0,1.6666666666666667,3.0,10.0,6.0,1.0,3.0,0.0,14.659166666666666,0.0,0.0,1.0,0
c993aad0-c33b-5914-995c-8311b1dcb1cf,2026-05-06 22:43:21+00:00,organic_search,US,desktop,medium,new_graduate,simplified,en,America/New_York,22.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,25.0,8.0,0.0,0.0,0.0,2.0833333333333335,4.0,25.0,10.0,4.0,4.0,0.0,2.888888888888889,1.0,3.0,2.0,0
a941e836-0a79-5a68-92f9-2a7d9c781aff,2026-04-26 22:16:31+00:00,content_marketing,GB,mobile,high,new_graduate,control,en,Europe/London,22.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,18.0,5.0,0.0,0.0,0.0,2.111111111111111,4.0,18.0,10.0,5.0,3.0,0.0,19.38861111111111,2.0,3.0,1.0,1
23d4583a-8cd4-51c0-92d2-d18753b4adde,2026-04-17 10:14:25+00:00,content_marketing,GB,desktop,high,new_graduate,personalized,en,Europe/London,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,4.0,0.0,0.0,0.0,1.8,3.0,9.0,5.0,3.0,3.0,0.0,3.3525,1.0,0.0,0.0,1
